id,name,birthdate,deathdate
3060,Hector Elizondo,1936-12-22,
3061,Héctor Jiménez,1973-12-14,
3062,Hector Kotsifakis,,
3063,Hedy Lamarr,1914-11-09,2000-01-19
3064,Heidi Ewing,,
3065,Heike Makatsch,1971-08-13,
3066,Helen Hayes,1924-07-04,
3067,Helen Martin,1909-07-23,2000-03-25
3068,Helen McCrory,1968-08-17,
3069,Helena Mattsson,1984-03-30,
3070,Helmut Bakaitis,1944-09-26,
3071,Henri Garcin,1929-04-11,
3072,Henry Alex Rubin,,
3073,Henry Bean,,
3074,Henry Cavill,1983-05-05,
3075,Henry Czerny,1959-02-08,
3076,Henry Hathaway,1898-03-13,1985-02-11
3077,Henry Hobson,,
3078,Henry Ian Cusick,1967-04-17,
3079,Henry Jaglom,1938-01-26,
3080,Henry Joost,,
3081,Henry King,1943-12-02,
3082,Henry Koster,1905-05-01,1988-09-21
3083,Henry Rollins,1961-02-13,
3084,Henry Selick,1952-11-30,
3085,Henry Silva,1928-09-15,
3086,Henry Simmons,1970-07-01,
3087,Henry Thomas,1971-09-09,
3088,Herb Freed,,
3089,Herbert Grönemeyer,1956-04-12,
3090,Herbert Lom,1917-09-11,2012-09-27
3091,Herbert Ross,1927-05-13,2001-10-09
3092,Herbert Russell,,
3093,Herman Koto,,
3094,Hervé Villechaize,1943-04-23,1993-09-04
3095,Hettienne Park,,
3096,Hiam Abbass,1960-11-30,
3097,Hideaki Anno,1960-05-22,
3098,Hideo Nakata,1961-07-19,
3099,Hilary Brougher,,
3100,Hilda Bernard,1920-10-29,
3101,Hill Harper,1966-05-17,
3102,Hironobu Sakaguchi,1962-11-14,
3103,Hiroshi Abe,1964-06-22,
3104,Hiroyuki Ikeuchi,1976-11-24,
3105,Hitoshi Matsumoto,1963-09-08,
3106,Ho-Sung Pak,1967-11-06,
3107,Hoke Howell,1929-08-27,1997-05-09
3108,Holland Taylor,1943-01-14,
3109,Holly Hunter,1958-03-20,
3110,Holly Valance,1983-05-11,
3111,Holmes Osborne,1947-11-07,
3112,Holt McCallany,1963-09-03,
3113,Homayoun Ershadi,,
3114,Hong-jin Na,,
3115,Honglei Sun,1970-08-16,
3116,Honor Blackman,1925-08-22,
3117,Hope Davis,1964-03-23,
3118,Hope Olaide Wilson,1985-08-16,
3119,Horatio Sanz,1969-06-04,
3120,Howard Caine,1928-01-02,1993-12-28
3121,Howard Deutch,1950-09-14,
3122,Howard Hawks,1896-05-30,1977-12-26
3123,Howard Hesseman,1940-02-27,
3124,Howard Hughes,,
3125,Howard Keel,1919-04-13,2004-11-07
3126,Howard Morris,1919-09-04,2005-05-21
3127,Howard Zieff,1927-10-21,2009-02-21
3128,Hoyt Axton,1938-03-25,1999-10-26
3129,Hoyt Yeatman,1955-01-23,
3130,Hristo Shopov,1964-01-04,
3131,Hsiao-Hsien Hou,1947-04-08,
3132,Huck Botko,,
3133,Hudson Leick,1969-05-09,
3134,Hue Rhodes,,
3135,Huell Howser,1945-10-18,2013-01-07
3136,Huey Lewis,1950-07-05,
3137,Hugh Bonneville,1963-11-10,
3138,Hugh Dillon,1963-05-31,
3139,Hugh Ducklow,,
3140,Hugh Griffith,1912-05-30,1980-05-14
3141,Hugh Hudson,1936-08-25,
3142,Hugh Jackman,1968-10-12,
3143,Hugh Johnson,,
3144,Hugh Keays-Byrne,1947-05-18,
3145,Hugh M. Hefner,1926-04-09,
3146,Hugh Mun,1960-09-09,
3147,Hugh O'Brian,1925-04-19,2016-09-05
3148,Hugh O'Conor,1975-04-19,
3149,Hugh Wilson,1943-08-21,
3150,Hugo Stiglitz,1940-08-28,
3151,Hulk Hogan,1953-08-11,
3152,Humphrey Bogart,1899-12-25,1957-01-14
3153,Hunter Parrish,1987-05-13,
3154,Hunter Richards,,
3155,Hunter Tylo,1962-07-03,
3156,Hutch Dano,1992-05-21,
3157,Hye-jeong Kang,1982-01-04,
3158,Hye-kyo Song,1981-11-22,
3159,Hyung-rae Shim,1958-01-03,
3160,Iain Softley,,
3161,Ian Bohen,1976-09-24,
3162,Ian Fitzgibbon,,
3163,Ian Gamazon,,
3164,Ian Gomez,1964-12-27,
3165,Ian Hart,1964-10-08,
3166,Ian Iqbal Rashid,,
3167,Ian McDiarmid,1944-08-11,
3168,Ian McNeice,1950-10-02,
3169,Ian Mune,,
3170,Ian Richardson,1934-04-07,2007-02-09
3171,Ian Sharp,1946-11-13,
3172,Ian Somerhalder,1978-12-08,
3173,Ian Tracey,1964-06-26,
3174,Ian Whyte,1971-09-17,
3175,Ian Ziering,1964-03-30,
3176,Iben Hjejle,1971-03-22,
3177,Ice Cube,1969-06-15,
3178,Ice-T,1958-02-16,
3179,Iddo Goldberg,1975-08-05,
3180,Igal Naor,1958-06-25,
3181,Igor Jijikine,1965-10-08,
3182,Igor Kovalyov,1963-01-17,
3183,Igor Zaripov,,
3184,Ike Barinholtz,1977-02-18,
3185,Iko Uwais,1983-02-12,
3186,Ilene Graff,1949-02-28,
3187,Illeana Douglas,1965-07-25,
3188,Imelda Staunton,1956-01-09,
3189,India de Beaufort,1987-06-27,
3190,Indiana Evans,1990-07-27,
3191,Indira Varma,1973-05-14,
3192,Ingmar Bergman,1918-07-14,2007-07-30
3193,Ingrid Bolsø Berdal,1980-03-02,
3194,Ingrid Thulin,1926-01-27,2004-01-07
3195,Ingvar Eggert Sigurðsson,1963-11-22,
3196,Inna Evlannikova,,
3197,Ioan Gruffudd,1973-10-06,
3198,Ion Overman,1976-11-09,
3199,Ione Skye,1970-09-04,
3200,Ira Sachs,,
3201,Irene Bedard,1967-07-22,
3202,Irene Dunne,1898-12-20,1990-09-04
3203,Irène Jacob,1966-07-15,
3204,Irene Papas,1926-09-03,
3205,Irvin Kershner,1923-04-29,2010-11-27
3206,Irwin Winkler,1931-05-28,
3207,Isaac C. Singleton Jr.,,
3208,Isaac Florentine,,
3209,Isaac Hayes,1942-08-20,2008-08-10
3210,Isaac Hempstead Wright,1999-04-09,
3211,Isaach De Bankolé,1957-08-12,
3212,Isabel Coixet,1960-04-09,
3213,Isabella Rossellini,1952-06-18,
3214,Isabelle Adjani,1955-06-27,
3215,Isabelle Carré,1971-05-28,
3216,Isabelle Huppert,1953-03-16,
3217,Isabelle Nanty,1962-01-21,
3218,Isabelle Nélisse,,
3219,Isaiah Washington,1963-08-03,
3220,Isiah Thomas,1961-04-30,
3221,Isiah Whitlock Jr.,1954-09-13,
3222,Isild Le Besco,1982-11-22,
3223,István Szabó,,
3224,Iulia Ciochina,,
3225,Ivan Barnev,1973-07-15,
3226,Ivan Dixon,1931-04-06,2008-03-16
3227,Ivan Engler,,
3228,Iván Kamarás,1972-12-22,
3229,Ivan Kavanagh,,
3230,Ivan Okhlobystin,1966-07-22,
3231,Ivan Reitman,1946-10-27,
3232,Ivan Sergei,1971-05-07,
3233,Ivana Baquero,1994-06-11,
3234,Ivana Milicevic,1974-04-26,
3235,Ivette Alvarez,,
3236,Izabella Miko,1981-01-21,
3237,Izabella Scorupco,1970-06-04,
3238,J Blakeson,,
3239,J. Lee Thompson,1914-08-01,2002-08-30
3240,J. Smith-Cameron,,
3241,J.A. Bayona,,
3242,J.B. Rogers,1910-10-08,1998-08-06
3243,J.B. Smoove,1965-12-16,
3244,J.C. Chandor,,
3245,J.D. Evermore,1968-11-05,
3246,J.D. Williams,1932-02-08,
3247,J.J. Abrams,1966-06-27,
3248,J.J. Cohen,1965-06-22,
3249,J.K. Simmons,1955-01-09,
3250,J.S. Cardone,1946-10-19,
3251,J.T. Walsh,1969-11-24,
3252,Jacek Koman,1956-08-15,
3253,Jacinda Barrett,1972-08-02,
3254,Jack Albertson,1907-06-16,1981-11-25
3255,Jack Canfield,,
3256,Jack Carson,1910-10-27,1963-01-02
3257,Jack Conway,1887-07-17,1952-10-11
3258,Jack Davenport,1973-03-01,
3259,Jack E. Curenton,,
3260,Jack Elam,1920-11-13,2003-10-20
3261,Jack Guzman,1978-06-21,
3262,Jack Hawkins,1910-09-14,1973-07-18
3263,Jack Heller,,
3264,Jack Kao,1958-04-23,
3265,Jack Lord,1894-02-01,1973-08-31
3266,Jack McBrayer,1973-05-27,
3267,Jack McElhone,,
3268,Jack McGee,1949-02-02,
3269,Jack McGraw,,
3270,Jack Nance,1943-12-21,1996-12-30
3271,Jack O'Connell,1990-08-01,
3272,Jack O'Halloran,1943-04-08,
3273,Jack Palance,1919-02-18,2006-11-10
3274,Jack Perez,,
3275,Jack Plotnick,1968-10-30,
3276,Jack Reynor,1992-01-23,
3277,Jack Sholder,1945-06-08,
3278,Jack Smight,1925-03-09,2003-09-01
3279,Jack Taylor,,
3280,Jack Thompson,1940-08-31,
3281,Jack Warden,1920-09-18,2006-07-19
3282,Jack Wild,1952-09-30,2006-03-01
3283,Jacki Weaver,1947-05-25,
3284,Jackie Burroughs,1939-02-02,2010-09-22
3285,Jackie Cooper,1922-09-15,2011-05-03
3286,Jackie Earle Haley,1961-07-14,
3287,Jackie Gleason,1916-02-26,1987-06-24
3288,Jackie Nova,,
3289,Jackson Nicoll,,
3290,Jacky Ido,1977-05-14,
3291,Jaco Booyens,,
3292,Jacob Aaron Estes,1972-09-06,
3293,Jacob Hopkins,,
3294,Jacob Latimore,1996-08-10,
3295,Jacob Pitts,,
3296,Jacob Tremblay,2006-10-05,
3297,Jacob Vargas,1971-08-18,
3298,Jacob Young,1979-09-10,
3299,Jacob Zachar,1986-05-16,
3300,Jacqueline Bisset,1944-09-13,
3301,Jacqueline Lovell,1974-12-09,
3302,Jacqueline MacInnes Wood,1987-04-17,
3303,Jacqueline McKenzie,1967-10-24,
3304,Jacques Brel,1929-04-08,1978-10-09
3305,Jacques Gamblin,1957-11-16,
3306,Jacques Perrin,1941-07-13,
3307,Jada Pinkett Smith,1971-09-18,
3308,Jade Kindar-Martin,,
3309,Jaden Klein,,
3310,Jafar Panahi,1960-07-11,
3311,Jaime Camil,1973-07-22,
3312,Jaime King,1979-04-23,
3313,Jaime Zevallos,,
3314,Jake Busey,1971-06-15,
3315,Jake Cherry,,
3316,Jake Goldberger,1977-05-12,
3317,Jake Gyllenhaal,1980-12-19,
3318,Jake Kasdan,1974-10-28,
3319,Jake Lacy,,
3320,Jake Lloyd,1989-03-05,
3321,Jake McDorman,1986-07-08,
3322,Jake Paltrow,1975-09-26,
3323,Jake Richardson,1958-03-03,
3324,Jake Ryan,,
3325,Jake Sandvig,1986-09-08,
3326,Jake Schreier,,
3327,Jake Scott,,
3328,Jake Short,1997-05-30,
3329,Jake Weary,1990-02-14,
3330,Jake Weber,1964-03-19,
3331,Jake Wood,1972-07-12,
3332,Jaleel White,1976-11-27,
3333,Jamaa Fanaka,1942-09-06,2012-04-01
3334,Jamal Hill,,
3335,Jamel Debbouze,1975-06-18,
3336,James Algar,1912-06-11,1998-02-26
3337,James Arnold Taylor,1969-07-22,
3338,James Babson,1974-10-24,
3339,James Badge Dale,1978-05-01,
3340,James Biberi,1965-07-28,
3341,James Bidgood,1933-03-28,
3342,James Bobin,,
3343,James Bolam,1935-06-16,
3344,James Bridges,1936-02-03,1993-06-06
3345,James Brolin,1940-07-18,
3346,James Brown,,
3347,James Buckley,1987-08-14,
3348,James Burnett,,
3349,James Cagney,1899-07-17,1986-03-30
3350,James Callis,,
3351,James Cameron,1954-08-16,
3352,James Chalke,,
3353,James Coburn,1928-08-31,2002-11-18
3354,James Corden,1978-08-22,
3355,James Cox,,
3356,James Cullen Bressack,1992-02-29,
3357,James D'Arcy,1975-08-24,
3358,James David Pasternak,,
3359,James DeBello,1980-06-09,
3360,James Deen,1986-02-07,
3361,James DeMonaco,,
3362,James Dodson,,
3363,James Doohan,1920-03-03,2005-07-20
3364,James Drury,1934-04-18,
3365,James Duval,1972-09-10,
3366,James Eckhouse,1955-02-14,
3367,James Fargo,,
3368,James Fleet,1952-03-11,
3369,James Foley,1953-12-28,
3370,James Fox,1939-05-19,
3371,James Frain,1968-03-14,
3372,James Franco,1978-04-19,
3373,James Frawley,1936-09-29,
3374,James Gammon,1940-04-20,2010-07-16
3375,James Gartner,1928-04-07,2014-07-19
3376,James Gray,,
3377,James Gunn,1970-08-05,
3378,James Hall,,
3379,James Hetfield,1963-08-03,
3380,James Huang,1952-01-07,
3381,James Isaac,1960-06-05,2012-05-06
3382,James Ivory,1928-06-07,
3383,James Karen,1923-11-28,
3384,James Kerwin,1973-10-13,
3385,James Kyson,1975-12-13,
3386,James L. Brooks,1940-05-09,
3387,James Lafferty,1985-07-25,
3388,James Lance,1940-05-05,
3389,James Le Gros,1962-04-27,
3390,James Lew,1967-05-19,
3391,James Lipton,1926-09-19,
3392,James Lorinz,1964-05-22,
3393,James Manera,,
3394,James Mangold,1963-12-16,
3395,James Marsh,1963-04-30,
3396,James Martin Kelly,1954-09-06,
3397,James Mason,1909-05-15,1984-07-27
3398,James Mather,,
3399,James McCaffrey,,
3400,James McTeigue,,
3401,James Melkonian,1961-04-06,
3402,James Morrison,1978-10-30,
3403,James Mottern,1969-08-01,
3404,James Nesbitt,1965-01-15,
3405,James Noble,1922-03-05,2016-03-28
3406,James Norton,,
3407,James Nunn,1970-08-05,
3408,James O'Brien,,
3409,James Patrick Stuart,1968-06-16,
3410,James Pickens Jr.,1954-10-26,
3411,James Ponsoldt,,
3412,James Ransone,1979-06-02,
3413,James Read,1953-07-31,
3414,James Robertson Justice,1907-06-15,1975-07-02
3415,James Robinson,,
3416,James Russo,1953-04-23,
3417,James Schamus,1959-09-07,
3418,James Shigeta,1929-06-17,2014-07-28
3419,James Toback,1944-11-23,
3420,James Tumminia,,
3421,James Tupper,1965-08-04,
3422,James Urbaniak,1963-09-17,
3423,James Wan,1977-02-26,
3424,James Watkins,,
3425,James Whitmore,1921-10-01,2009-02-06
3426,James Wilcox,,
3427,James With,1967-01-23,
3428,James Wolk,1985-03-22,
3429,James Wong,,
3430,Jamey Sheridan,1951-07-12,
3431,Jami Gertz,1965-10-28,
3432,Jamie Babbit,1970-11-16,
3433,Jamie Blackley,1991-07-08,
3434,Jamie Blanks,,
3435,Jamie Draven,1979-05-14,
3436,Jamie Farr,1934-07-01,
3437,Jamie Foreman,1958-05-25,
3438,Jamie Hector,1975-10-07,
3439,Jamie Kennedy,1970-05-25,
3440,Jamie Lee Curtis,1958-11-22,
3441,Jamie Renée Smith,1987-04-10,
3442,Jamie Thraves,,
3443,Jamie Travis,1979-08-13,
3444,Jamin Winans,,
3445,Jamison Stalsworth,,
3446,Jan Cornet,1982-02-24,
3447,Jan de Bont,1943-10-22,
3448,Jan Decleir,1946-02-14,
3449,Jan Haley,,
3450,Jan Hooks,1957-04-23,2014-10-09
3451,Jan-Michael Vincent,1944-07-15,
3452,Jane Adams,1965-04-01,
3453,Jane Bradbury,,
3454,Jane Campion,1954-04-30,
3455,Jane Clark,,
3456,Jane Curtin,1947-09-06,
3457,Jane Fonda,1937-12-21,
3458,Jane Goodall,1934-04-03,
3459,Jane Krakowski,1968-10-11,
3460,Jane Wyman,1917-01-05,2007-09-10
3461,Janeane Garofalo,1964-09-28,
3462,Janel Parrish,1988-10-30,
3463,Janet Hubert,1956-01-13,
3464,Janet Jackson,1966-05-16,
3465,Janet Lee Dapper,1977-08-28,
3466,Janet Leigh,1927-07-06,2004-10-03
3467,Janet McTeer,1961-08-05,
3468,Janette Armand,1986-02-11,
3469,Janine Turner,1962-12-06,
3470,Jansen Panettiere,1994-09-25,
3471,Janusz Kaminski,1959-06-27,
3472,Jaqueline Fleming,1977-09-10,
3473,Jared Burke,1979-05-31,
3474,Jared Gilman,1998-12-28,
3475,Jared Hess,1979-07-18,
3476,Jaroslaw Boberek,1963-06-14,
3477,Jarrod Bunch,1968-08-09,
3478,Jarrod Phillips,,
3479,Jasika Nicole,,
3480,Jasmine Trinca,1981-04-24,
3481,Jason Alexander,1959-09-23,
3482,Jason Bateman,1969-01-14,
3483,Jason Beghe,1960-03-12,
3484,Jason Behr,1973-12-30,
3485,Jason Burkey,,
3486,Jason Cerbone,1977-11-02,
3487,Jason Connery,1963-01-11,
3488,Jason Cope,,
3489,Jason Cottle,,
3490,Jason Dixie,,
3491,Jason Dohring,1982-03-30,
3492,Jason Douglas,,
3493,Jason Eisener,,
3494,Jason Evers,1922-01-02,2005-03-13
3495,Jason Flemyng,1966-09-25,
3496,Jason Friedberg,1971-10-13,
3497,Jason George,,
3498,Jason Gray-Stanford,1970-05-19,
3499,Jason Hawes,1971-12-27,
3500,Jason K. Wixom,,
3501,Jason Kravits,1967-05-28,
3502,Jason Lewis,,
3503,Jason London,1972-11-07,
3504,Jason Mantzoukas,1972-12-18,
3505,Jason Marsden,1975-01-03,
3506,Jason Maza,1987-04-24,
3507,Jason Mewes,1974-06-12,
3508,Jason Miller,1972-01-05,
3509,Jason Momoa,1979-08-01,
3510,Jason Moore,,
3511,Jason Naumann,,
3512,Jason Patric,1966-06-17,
3513,Jason Priestley,1969-08-28,
3514,Jason Reitman,1977-10-19,
3515,Jason Ritter,1980-02-17,
3516,Jason Robards,1922-07-26,2000-12-26
3517,Jason Scott Lee,1966-11-19,
3518,Jason Spevack,,
3519,Jason Statham,1967-07-26,
3520,Jason Stone,1981-11-25,
3521,Jason Stuart,1959-01-13,
3522,Jason Tobin,,
3523,Jason Trost,,
3524,Jason Weaver,1979-07-18,
3525,Jason Wiles,1970-04-25,
3526,Jason Zada,,
3527,Jasper Cole,,
3528,Jasper Johal,,
3529,Jasper Levine,,
3530,Jaume Balagueró,1968-11-02,
3531,Jaume Collet-Serra,1974-03-23,
3532,Javed Jaffrey,1963-12-04,
3533,Javed Sheikh,1954-10-08,
3534,Javier Botet,1977-07-30,
3535,Jay Adams,,
3536,Jay Alaimo,,
3537,Jay Chandrasekhar,1968-04-09,
3538,Jay Duplass,1973-03-07,
3539,Jay Hernandez,1978-02-20,
3540,Jay Laga'aia,1963-09-10,
3541,Jay Leno,1950-04-28,
3542,Jay Levey,,
3543,Jay Mohr,1970-08-23,
3544,Jay O. Sanders,1953-04-16,
3545,Jay Oliva,,
3546,Jay Paulson,1978-05-29,
3547,Jay R. Ferguson,1974-07-25,
3548,Jay Roach,1957-06-14,
3549,Jay Russell,1960-01-10,
3550,Jaya Bhaduri,1948-04-09,
3551,Jaycee Chan,1982-12-03,
3552,Jaymes Butler,1969-11-13,
3553,Jayne Eastwood,1946-12-17,
3554,Je-kyu Kang,1962-12-23,
3555,Jean Arthur,1900-10-17,1991-06-19
3556,Jean Caffeine,,
3557,Jean Harlow,1911-03-03,1937-06-07
3558,Jean Louisa Kelly,1972-03-09,
3559,Jean Marsh,1934-07-01,
3560,Jean Peters,1926-10-15,2000-10-13
3561,Jean Pierre Bergeron,,
3562,Jean Simmons,1929-01-31,2010-01-22
3563,Jean Smart,1951-09-13,
3564,Jean Stapleton,1923-01-19,2013-05-31
3565,Jean-Baptiste Maunier,1990-12-22,
3566,Jean-Claude Dreyfus,1946-02-18,
3567,Jean-Claude Lecas,1953-05-02,
3568,Jean-François Richet,1966-07-02,
3569,Jean-Hugues Anglade,1955-07-29,
3570,Jean-Jacques Annaud,1943-10-01,
3571,Jean-Jacques Mantello,,
3572,Jean-Louis Blondeau,,
3573,Jean-Louis Trintignant,1930-12-11,
3574,Jean-Luc Godard,1930-12-03,
3575,Jean-Marc Barr,1960-09-27,
3576,Jean-Marc Vallée,1963-03-09,
3577,Jean-Marie Poiré,1945-07-10,
3578,Jean-Paul Belmondo,1933-04-09,
3579,Jean-Paul Rappeneau,1932-04-08,
3580,Jean-Pierre Darroussin,1953-12-04,
3581,Jean-Pierre Jeunet,1953-09-03,
3582,Jean-Pierre Léaud,1944-05-28,
3583,Jeanette Branch,,
3584,Jeanne Crain,1925-05-25,2003-12-14
3585,Jeanne Moreau,1928-01-23,
3586,Jeanne Neilson,,
3587,Jeanne Tripplehorn,1963-06-10,
3588,Jeannetta Arnette,1954-07-29,
3589,Jeannot Szwarc,1939-11-21,
3590,Jeb Stuart,1956-01-21,
3591,Jed Brophy,,
3592,Jee-woon Kim,1964-05-27,
3593,Jeff Ament,1963-03-10,
3594,Jeff Anderson,1970-04-21,
3595,Jeff Bennett,1962-10-02,
3596,Jeff Bridges,1949-12-04,
3597,Jeff Burr,,
3598,Jeff Conaway,1950-10-05,2011-05-27
3599,Jeff Crook,,
3600,Jeff Delaney,,
3601,Jeff DeRocker,,
3602,Jeff Dowd,,
3603,Jeff Fahey,1952-11-29,
3604,Jeff Franklin,1955-01-21,
3605,Jeff Garlin,1962-06-05,
3606,Jeff Jacob,1966-06-27,
3607,Jeff Kanew,1944-12-16,
3608,Jeff Kober,1953-12-18,
3609,Jeff Lima,,
3610,Jeff Lowell,,
3611,Jeff Marlow,,
3612,Jeff Nathanson,1965-10-12,
3613,Jeff Nichols,1978-12-07,
3614,Jeff Perry,1955-08-16,
3615,Jeff Schaffer,,
3616,Jeff Seymour,,
3617,Jeff Tremaine,,
3618,Jeff Wadlow,1976-03-02,
3619,Jeffrey Combs,1954-09-09,
3620,Jeffrey DeMunn,1947-04-25,
3621,Jeffrey Dover,,
3622,Jeffrey Falcon,1962-01-01,
3623,Jeffrey Frost,,
3624,Jeffrey Garcia,1977-05-03,
3625,Jeffrey Jones,1946-09-28,
3626,Jeffrey Markle,,
3627,Jeffrey St. Jules,,
3628,Jeffrey W. Byrd,,
3629,Jeffrey W. Jenkins,,
3630,Jeffrey Weissman,1958-10-02,
3631,Jehane Noujaim,1974-05-17,
3632,Jelena Jovanova,1984-10-21,
3633,Jelena Nik,,
3634,Jem Cohen,,
3635,Jemima Kirke,1985-04-26,
3636,Jemima Rooper,1981-10-24,
3637,Jemima West,1987-08-11,
3638,Jemma Curran,,
3639,Jenette Goldstein,1960-02-04,
3640,Jenifer Lewis,1957-01-25,
3641,Jenna Boyd,1993-03-04,
3642,Jenna Elfman,1971-09-30,
3643,Jenna Fischer,1974-03-07,
3644,Jenni 'Jwoww' Farley,1986-02-27,
3645,Jenni Rivera,1969-07-02,2012-12-09
3646,Jennie Jacques,1989-02-28,
3647,Jennifer Butler,1966-05-11,
3648,Jennifer Ehle,1969-12-29,
3649,Jennifer Esposito,1973-04-11,
3650,Jennifer Finnigan,1979-08-22,
3651,Jennifer Flackett,,
3652,Jennifer Freeman,1985-10-20,
3653,Jennifer Garner,1972-04-17,
3654,Jennifer Grey,1960-03-26,
3655,Jennifer Hale,1972-01-01,
3656,Jennifer Hall,1977-10-20,
3657,Jennifer Hudson,1981-09-12,
3658,Jennifer Jason Leigh,1962-02-05,
3659,Jennifer Jones,1942-12-04,
3660,Jennifer Lafleur,1979-09-08,
3661,Jennifer Landa,,
3662,Jennifer Lawrence,1990-08-15,
3663,Jennifer Lee Wiggins,,
3664,Jennifer Rubin,1962-04-03,
3665,Jennifer Saunders,1958-07-06,
3666,Jennifer Schwalbach Smith,1971-04-07,
3667,Jennifer Sky,,
3668,Jennifer Tung,1973-05-03,
3669,Jennifer Ulrich,1984-10-18,
3670,Jennifer Westfeldt,1970-02-02,
3671,Jennifer Wynne Farmer,,
3672,Jennifer Yuh Nelson,1972-05-07,
3673,Jenny Agutter,1952-12-20,
3674,Jenny McCarthy,1972-11-01,
3675,Jenny O'Hara,1942-02-24,
3676,Jenny Slate,1982-03-25,
3677,Jensen Ackles,1978-03-01,
3678,Jere Burns,,
3679,Jeremy Brett,1933-11-03,1995-09-12
3680,Jeremy Brock,,
3681,Jeremy Crutchley,,
3682,Jeremy Davies,1969-10-08,
3683,Jeremy Degruson,,
3684,Jeremy Howard,1981-06-12,
3685,Jeremy Irvine,,
3686,Jeremy Jordan,1978-02-20,
3687,Jeremy Kemp,1935-01-03,
3688,Jeremy Leven,,
3689,Jeremy Northam,1961-12-01,
3690,Jeremy Owen,,
3691,Jeremy Renner,1971-01-07,
3692,Jeremy Sande,,
3693,Jeremy Saulnier,1976-06-10,
3694,Jeremy Shada,1997-01-21,
3695,Jeremy Sims,1966-01-10,
3696,Jeremy W. Auman,,
3697,Jeri Ryan,1968-02-22,
3698,Jérôme Deschamps,,
3699,Jerome Elston Scott,,
3700,Jerome Robbins,1918-10-11,1998-07-29
3701,Jérôme Salle,,
3702,Jerry Belson,1938-07-08,2006-10-10
3703,Jerry Brown,,
3704,Jerry Dugan,,
3705,Jerry Ferrara,1979-11-25,
3706,Jerry Jameson,1934-11-26,
3707,Jerry Mathers,1948-06-02,
3708,Jerry Nelson,1934-07-10,2012-08-23
3709,Jerry Rees,,
3710,Jerry Stiller,1927-06-08,
3711,Jerry Zaks,1946-09-07,
3712,Jerry Zucker,1950-03-11,
3713,Jesper Christensen,1948-05-16,
3714,Jess Harnell,1963-12-23,
3715,Jess Weixler,1981-06-08,
3716,Jessalyn Gilsig,1971-11-30,
3717,Jesse Borrego,1962-08-01,
3718,Jesse Dylan,1966-01-06,
3719,Jesse Garcia,,
3720,Jesse Hutch,,
3721,Jesse James,,
3722,Jesse Jane,1980-07-10,
3723,Jesse L. Martin,1969-01-18,
3724,Jesse McCartney,1987-04-09,
3725,Jesse Moss,,
3726,Jesse Peretz,,
3727,Jesse Tyler Ferguson,1975-10-22,
3728,Jesse Vaughan,,
3729,Jesse Vint,,
3730,Jessica Barden,1992-07-21,
3731,Jessica Bendinger,1966-11-10,
3732,Jessica Bowman,1980-11-26,
3733,Jessica Capshaw,1976-08-09,
3734,Jessica Chastain,1977-03-24,
3735,Jessica Collins,1971-04-01,
3736,Jessica De Gouw,1988-02-15,
3737,Jessica Dublin,1918-07-09,2012-07-21
3738,Jessica Duffy,1976-09-08,
3739,Jessica Hecht,1965-06-28,
3740,Jessica Lindsey,1978-08-15,
3741,Jessica Lowndes,1988-11-08,
3742,Jessica Mauboy,1989-08-04,
3743,Jessica McNamee,,
3744,Jessica Paré,,
3745,Jessica Raine,,
3746,Jessica Simpson,1980-07-10,
3747,Jessica Szohr,1985-03-31,
3748,Jessica Tandy,1909-06-07,1994-09-11
3749,Jessica Walter,1941-01-31,
3750,Jessica Wesson,,
3751,Jessie Nelson,,
3752,Jessie T. Usher,1992-02-29,
3753,Jessika Van,1985-05-28,
3754,Jessy Schram,1986-01-15,
3755,Jessy Terrero,1975-07-03,
3756,Jesuíta Barbosa,,
3757,Jet Li,1963-04-26,
3758,Jeta Amata,,
3759,Jez Butterworth,,
3760,Ji-hyun Jun,1981-10-30,
3761,Ji-tae Yu,1976-04-13,
3762,Ji-won Ha,1978-06-28,
3763,Jiao Xu,1997-08-05,
3764,Jill Clayburgh,1944-04-30,2010-11-05
3765,Jill Flint,1977-11-25,
3766,Jill Hennessy,1968-11-25,
3767,Jill Sprecher,,
3768,Jill St. John,1940-08-19,
3769,Jill Talley,1962-12-19,
3770,Jillian Estell,,
3771,Jillian Murray,1984-06-04,
3772,Jim Abrahams,1944-05-10,
3773,Jim Amatulli,,
3774,Jim Backus,1913-02-25,1989-07-03
3775,Jim Belushi,1954-06-15,
3776,Jim Broadbent,1949-05-24,
3777,Jim Byrnes,1948-09-22,
3778,Jim Carter,1948-08-19,
3779,Jim Chuchu,,
3780,Jim Cody Williams,,
3781,Jim Fall,1974-09-19,
3782,Jim Field Smith,1979-02-20,
3783,Jim Gaffigan,1966-07-07,
3784,Jim Gillespie,,
3785,Jim Goddard,1936-02-02,2013-06-17
3786,Jim Hanon,,
3787,Jim Henson,1936-09-24,1990-05-16
3788,Jim Issa,,
3789,Jim Jarmusch,1953-01-22,
3790,Jim Meskimen,1959-09-10,
3791,Jim Mickle,,
3792,Jim Norton,1938-01-04,
3793,Jim O'Heir,1962-02-04,
3794,Jim Parrack,1981-02-08,
3795,Jim Parsons,1973-03-24,
3796,Jim Rash,1971-07-15,
3797,Jim Sheridan,1949-02-06,
3798,Jim Siedow,1920-06-12,2003-11-20
3799,Jim Sonzero,,
3800,Jim Sturgess,1978-05-16,
